Price,Make,Model,Year,Style,Fuel,Engine,Distance,Cylinders,Transmission,Drive,Wheel,Color,ID
24775,LEXUS,CT 200h,2011,Hatchback,Hybrid,1.8,119000 km,4.0,Variator,Front,Left wheel,White,2052
470,TOYOTA,Prius,2013,Hatchback,Hybrid,1.8,0 km,4.0,Automatic,Front,Left wheel,Black,2053
19757,CHEVROLET,Cruze LT,2016,Sedan,Petrol,1.4 Turbo,58000 km,4.0,Tiptronic,Front,Left wheel,Black,2054
4391,HYUNDAI,Elantra,2014,Sedan,Petrol,1.8,138838 km,4.0,Automatic,Front,Left wheel,Silver,2055
18660,HYUNDAI,H1,2012,Minivan,Diesel,2.5,62234 km,4.0,Automatic,Front,Left wheel,Silver,2056
29479,TOYOTA,RAV 4,2013,Jeep,Petrol,2.5,83000 km,4.0,Tiptronic,4x4,Left wheel,Black,2057
19657,HYUNDAI,H1,2011,Universal,Diesel,2.5,180000 km,4.0,Automatic,Front,Left wheel,Yellow,2058
49237,MERCEDES-BENZ,C 300,2015,Sedan,Petrol,2,45000 km,6.0,Automatic,Rear,Left wheel,Grey,2059
56513,HYUNDAI,Santa FE,2018,Jeep,Diesel,2,61640 km,4.0,Automatic,Front,Left wheel,Blue,2060
17876,TOYOTA,Camry,2009,Sedan,Hybrid,2.4,300000 km,4.0,Manual,Front,Left wheel,Beige,2061
282,HYUNDAI,Sonata,2012,Sedan,Hybrid,2.4,93816 km,4.0,Automatic,Front,Left wheel,Black,2062
38260,HYUNDAI,Santa FE,2016,Jeep,Petrol,2.4,113771 km,4.0,Automatic,4x4,Left wheel,Orange,2063
45,TOYOTA,Prius,2013,Sedan,Hybrid,1.8,100000 km,4.0,Variator,Front,Left wheel,White,2064
10349,TOYOTA,Vitz,2010,Hatchback,Petrol,1,95000 km,3.0,Variator,Front,Right-hand drive,Green,2065
12544,MITSUBISHI,Lancer,2007,Sedan,Petrol,2,249600 km,4.0,Tiptronic,Front,Left wheel,Grey,2066
10036,MERCEDES-BENZ,E 220,2000,Sedan,Petrol,2.4,19000 km,6.0,Tiptronic,Rear,Left wheel,Blue,2067
23204,MERCEDES-BENZ,Sprinter,2007,Microbus,Diesel,2.2 Turbo,296000 km,4.0,Manual,Rear,Left wheel,Black,2068
21796,CHEVROLET,Orlando,2015,Jeep,Petrol,2,28633 km,4.0,Automatic,Front,Left wheel,Black,2069
20209,HYUNDAI,Elantra,2012,Sedan,Petrol,1.6,108900 km,4.0,Automatic,Front,Left wheel,Silver,2070
7056,TOYOTA,RAV 4,2017,Jeep,Petrol,2.5,47301 km,4.0,Automatic,Front,Left wheel,Red,2071
470,HONDA,Hr-v,2017,Jeep,Petrol,1.8,0 km,4.0,Automatic,4x4,Left wheel,Blue,2072
15681,HYUNDAI,H1,2008,Minivan,Diesel,2.5,92605 km,4.0,Automatic,Front,Left wheel,Silver,2073
17054,HYUNDAI,Tucson,2011,Jeep,Diesel,2,171340 km,4.0,Automatic,Front,Left wheel,Grey,2074
40224,HYUNDAI,Tucson,2016,Jeep,Diesel,,62232 km,4.0,Automatic,Front,Left wheel,Black,2075
27911,TOYOTA,RAV 4,2008,Jeep,Diesel,2.2 Turbo,210000 km,4.0,Manual,4x4,Left wheel,Silver,2076
16308,TOYOTA,Prius,2009,Hatchback,Hybrid,1.8,140000 km,4.0,Automatic,Front,Left wheel,Grey,2077
6115,NISSAN,Skyline,2001,Sedan,CNG,2.5,165000 km,6.0,Tiptronic,Rear,Right-hand drive,Silver,2078
7527,MITSUBISHI,Airtrek,2001,Jeep,CNG,2,111111 km,4.0,Tiptronic,Front,Left wheel,Silver,2079
10349,HONDA,Insight,2009,Hatchback,Hybrid,1.3,278400 km,4.0,Variator,Front,Left wheel,Black,2080
3136,NISSAN,Skyline,2003,Sedan,Petrol,3,500 km,6.0,Tiptronic,Rear,Right-hand drive,Black,2081
26030,TOYOTA,Camry LE,2012,Sedan,Hybrid,2.5,78400 km,4.0,Automatic,Front,Left wheel,Grey,2082
9252,MERCEDES-BENZ,E 350,2012,Sedan,Diesel,3,171221 km,6.0,Automatic,Rear,Left wheel,Black,2083
7188,CHEVROLET,Captiva,2007,Jeep,Diesel,2,67558 km,4.0,Automatic,Front,Left wheel,Black,2084
8800,TOYOTA,Ist,2002,Hatchback,Petrol,1.3,131000 km,4.0,Automatic,Front,Right-hand drive,Silver,2085
14426,HYUNDAI,Elantra,2012,Sedan,Petrol,1.8,113600 km,4.0,Automatic,Front,Left wheel,White,2086
4077,BMW,520,1995,Sedan,Petrol,2,1111111 km,6.0,Manual,Rear,Left wheel,Black,2087
157,MERCEDES-BENZ,E 350,2011,Sedan,Diesel,3.5,377379 km,6.0,Automatic,4x4,Left wheel,Silver,2088
80,FORD,Fusion,2017,Sedan,Hybrid,2,40000 km,4.0,Automatic,Front,Left wheel,Black,2089
31988,BMW,530,2011,Sedan,Petrol,3,81000 km,4.0,Tiptronic,Rear,Left wheel,Silver,2090
12500,HONDA,FIT,2019,Hatchback,Petrol,1.3,6000 km,4.0,Automatic,Front,Right-hand drive,Black,2091
15681,MERCEDES-BENZ,E 350,2013,Sedan,Petrol,3.5 Turbo,140800 km,6.0,Automatic,4x4,Left wheel,Black,2092
784,FORD,Fusion,2010,Sedan,Petrol,2.5,178330 km,4.0,Automatic,Front,Left wheel,Black,2093
941,LEXUS,GX 460,2015,Jeep,Petrol,4.6,188078 km,8.0,Automatic,4x4,Left wheel,Black,2094
36065,CHEVROLET,Camaro,2011,Jeep,Petrol,3.6,84800 km,6.0,Tiptronic,Rear,Left wheel,Red,2095
15847,HYUNDAI,H1,2010,Minivan,Diesel,2.5,58788 km,4.0,Automatic,Front,Left wheel,Black,2096
24267,HYUNDAI,Tucson,2012,Jeep,Diesel,2,132976 km,4.0,Automatic,Front,Left wheel,Silver,2097
3607,NISSAN,Juke,2015,Jeep,Petrol,,103358 km,4.0,Automatic,4x4,Left wheel,Blue,2098
4704,AUDI,A7,2014,Hatchback,Petrol,3,401128 km,6.0,Automatic,4x4,Left wheel,Grey,2099
20005,HYUNDAI,Tucson,2011,Jeep,Diesel,2,193926 km,4.0,Automatic,Front,Left wheel,Black,2100
10976,MERCEDES-BENZ,C 180,1999,Sedan,Petrol,1.8,214500 km,4.0,Manual,Rear,Left wheel,Black,2101
7213,RENAULT,Laguna,2003,Hatchback,Diesel,1.9 Turbo,70000 km,4.0,Manual,Front,Left wheel,Silver,2102
66197,HYUNDAI,H1,2018,Universal,LPG,2.5,20930 km,4.0,Automatic,Front,Left wheel,Yellow,2103
7840,HONDA,FIT,2004,Hatchback,Petrol,1.3,175000 km,4.0,Variator,Front,Right-hand drive,Silver,2104
92515,AUDI,Allroad,2015,Universal,Diesel,3.0 Turbo,92000 km,6.0,Tiptronic,4x4,Left wheel,Grey,2105
392,TOYOTA,Camry,2013,Sedan,Hybrid,2.5,124184 km,4.0,Automatic,Front,Left wheel,Silver,2106
61521,HYUNDAI,Tucson,2018,Jeep,Petrol,1.6,14661 km,4.0,Automatic,Front,Left wheel,Blue,2107
41811,SSANGYONG,REXTON,2014,Jeep,Diesel,2,97700 km,4.0,Automatic,Front,Left wheel,Brown,2108
12544,HONDA,FIT,2010,Hatchback,Petrol,1.3,0 km,4.0,Variator,Front,Right-hand drive,Black,2109
26475,HYUNDAI,Tucson,2011,Jeep,Diesel,2,151186 km,4.0,Automatic,Front,Left wheel,Silver,2110
19309,HYUNDAI,Santa FE,2010,Jeep,Diesel,2.2,185987 km,4.0,Automatic,Front,Left wheel,White,2111
6899,BMW,225,2000,Sedan,Petrol,2.5,199866 km,6.0,Manual,Rear,Left wheel,Black,2112
20237,CHEVROLET,Malibu,2012,Sedan,Petrol,2.4,146367 km,4.0,Automatic,Front,Left wheel,Grey,2113
941,HYUNDAI,Elantra,2014,Sedan,Petrol,1.8,101526 km,4.0,Automatic,Front,Left wheel,Silver,2114
9408,BMW,525 i,2003,Sedan,Petrol,2.5,190000 km,6.0,Tiptronic,Rear,Left wheel,Grey,2115
37633,TOYOTA,Camry SE,2016,Sedan,Petrol,2.5,15000 km,4.0,Tiptronic,Front,Left wheel,Silver,2116
3920,FORD,Fusion,2013,Sedan,Petrol,2.5,90672 km,4.0,Automatic,Front,Left wheel,White,2117
11604,CHEVROLET,Cruze,2012,Sedan,Petrol,1.4 Turbo,165000 km,4.0,Tiptronic,Front,Left wheel,Silver,2118
2117,AUDI,A4,2013,Sedan,Petrol,2,174941 km,4.0,Automatic,4x4,Left wheel,Black,2119
5959,JAGUAR,F-type,2015,Cabriolet,Petrol,5,57381 km,8.0,Automatic,Rear,Left wheel,Black,2120
8154,LEXUS,RX 400,2008,Jeep,Hybrid,3.3,224629 km,6.0,Automatic,4x4,Left wheel,Silver,2121
18814,TOYOTA,Prius,2010,Hatchback,Hybrid,1.8,88265 km,4.0,Automatic,Front,Left wheel,White,2122
20005,SSANGYONG,Korando,2011,Jeep,Diesel,2,199569 km,4.0,Automatic,Front,Left wheel,Grey,2123
862,TOYOTA,Prius,2010,Sedan,Hybrid,,421546 km,4.0,Automatic,Front,Left wheel,Silver,2124
25089,AUDI,100,2016,Jeep,Petrol,3,70782 km,6.0,Automatic,4x4,Left wheel,Black,2125
18503,TOYOTA,Prius C,2013,Hatchback,Hybrid,1.5,181000 km,4.0,Automatic,Front,Left wheel,White,2126
60000,HONDA,Civic,2017,Sedan,Petrol,1.5,20147 km,4.0,Automatic,Front,Left wheel,Black,2127
14113,OPEL,Astra H,2009,Goods wagon,Diesel,,160000 km,6.0,Tiptronic,Front,Left wheel,Silver,2128
15524,HYUNDAI,Grandeur,2012,Sedan,,3,137235 km,4.0,Automatic,Front,Left wheel,Silver,2129
22894,KIA,Optima,2014,Sedan,Hybrid,2.4,81000 km,4.0,Tiptronic,Front,Left wheel,Black,2130
627,SUZUKI,SX4,2013,Sedan,Petrol,2,153590 km,4.0,Automatic,Front,Left wheel,Blue,2131
26343,TOYOTA,Camry,2016,Sedan,Petrol,2.5,157802 km,4.0,Automatic,Front,Left wheel,Black,2132
18817,TOYOTA,Camry,2018,Sedan,Hybrid,2.5,35058 km,4.0,Automatic,Front,Left wheel,White,2133
27284,TOYOTA,Avalon LIMITED,2013,Sedan,Hybrid,2.5,109000 km,4.0,Automatic,Front,Left wheel,Silver,2134
22580,TOYOTA,Camry LE,2014,Sedan,Petrol,2.5,133000 km,4.0,Tiptronic,Front,Left wheel,Black,2135
25810,HYUNDAI,Santa FE,2012,Jeep,Diesel,2,179421 km,4.0,Automatic,Front,Left wheel,White,2136
18817,TOYOTA,Camry,2018,Sedan,Hybrid,2.5,35058 km,4.0,Automatic,Front,Left wheel,White,2137
549,BMW,X5,2011,Jeep,Petrol,3,125480 km,6.0,Automatic,4x4,Left wheel,White,2138
300,MERCEDES-BENZ,CLS 55 AMG,2009,Sedan,Petrol,5.5,123000 km,8.0,Tiptronic,4x4,Left wheel,White,2139
157,MERCEDES-BENZ,ML 350,2012,Jeep,Diesel,3,145227 km,6.0,Automatic,4x4,Left wheel,Grey,2140
39458,SSANGYONG,Actyon,2017,Jeep,Diesel,1.6,72924 km,4.0,Automatic,Front,Left wheel,Blue,2141
1254,LEXUS,RC F,2016,Coupe,Petrol,2,49222 km,4.0,Automatic,Rear,Left wheel,Black,2142
24625,SSANGYONG,REXTON,2013,Jeep,Diesel,2,167333 km,4.0,Automatic,Front,Left wheel,Black,2143
34811,LEXUS,RX 450,2016,Jeep,Hybrid,3.5,0 km,6.0,Automatic,Front,Left wheel,Grey,2144
20385,FORD,Escape,2009,Jeep,Hybrid,2.5,272000 km,4.0,Automatic,Front,Left wheel,White,2145
8500,MERCEDES-BENZ,E 240,2001,Sedan,Petrol,2.4,0 km,6.0,Tiptronic,Rear,Right-hand drive,Golden,2146
12231,MERCEDES-BENZ,ML 350,2003,Jeep,CNG,3.7,321600 km,6.0,Tiptronic,4x4,Left wheel,Black,2147
32929,BMW,X5 X-Drive,2007,Jeep,Petrol,4.8,248000 km,8.0,Tiptronic,4x4,Left wheel,Black,2148
46809,SSANGYONG,REXTON,2016,Jeep,Diesel,2.2,102066 km,4.0,Automatic,Front,Left wheel,Black,2149
15257,HYUNDAI,Sonata,2011,Sedan,Petrol,2,163374 km,4.0,Automatic,Front,Left wheel,Grey,2150
204,HYUNDAI,Sonata hybrid,2014,Sedan,Hybrid,2.4,107300 km,4.0,Tiptronic,Front,Left wheel,Silver,2151
13485,TOYOTA,Camry,2010,Sedan,Petrol,2.5,110000 km,4.0,Tiptronic,Front,Left wheel,White,2152
14113,VOLKSWAGEN,Jetta,2014,Sedan,Petrol,1.8 Turbo,112000 km,4.0,Manual,Front,Left wheel,Black,2153
25089,BMW,320 2.0,2014,Sedan,Petrol,2.0 Turbo,97970 km,4.0,Tiptronic,Rear,Left wheel,Black,2154
29793,BMW,328 DIZEL,2013,Sedan,Diesel,2.0 Turbo,160000 km,4.0,Tiptronic,Rear,Left wheel,Grey,2155
22580,CHEVROLET,Equinox LT,2019,Jeep,Petrol,1.5,5124 km,4.0,Automatic,4x4,Left wheel,Black,2156
21326,NISSAN,Altima,2019,Sedan,Petrol,2.5,30296 km,4.0,Automatic,Front,Left wheel,Grey,2157
3800,OPEL,Vectra,1994,Sedan,Petrol,1.6,270000 km,4.0,Manual,Front,Left wheel,Red,2158
17876,HYUNDAI,Sonata,2014,Sedan,Hybrid,2.4,11000 km,4.0,Tiptronic,Front,Left wheel,White,2159
1725,HYUNDAI,Elantra,2014,Sedan,Petrol,1.8,107155 km,4.0,Automatic,Front,Left wheel,Black,2160
13172,VOLKSWAGEN,Jetta,2012,Sedan,Petrol,2.5,83658 km,4.0,Tiptronic,Front,Left wheel,Black,2161
15718,HYUNDAI,Sonata,2010,Sedan,Petrol,2,149608 km,4.0,Automatic,Front,Left wheel,Silver,2162
32929,TOYOTA,Camry,2018,Sedan,Petrol,2.5,19000 km,4.0,Tiptronic,Front,Left wheel,Black,2163
21987,CHEVROLET,Malibu,2014,Sedan,Diesel,2,133923 km,4.0,Automatic,Front,Left wheel,Grey,2164
24148,SSANGYONG,Actyon,2017,Jeep,Diesel,1.6,27067 km,4.0,Automatic,Front,Left wheel,White,2165
8467,MERCEDES-BENZ,CLK 200,2000,Coupe,Petrol,2,267583 km,4.0,Manual,Rear,Left wheel,Silver,2166
12544,VOLKSWAGEN,Jetta,2012,Sedan,,2.5,120000 km,4.0,Manual,Front,Left wheel,Grey,2167
5018,FORD,Transit,2000,Microbus,Diesel,2.5,3538 km,6.0,Manual,Rear,Left wheel,Beige,2168
7840,BMW,525,1998,Sedan,Petrol,2.5,220000 km,6.0,Manual,Rear,Left wheel,Silver,2169
20000,VOLKSWAGEN,Crafter,2010,Microbus,Diesel,2.5,215000 km,4.0,Manual,Rear,Left wheel,White,2170
7700,OPEL,Astra,2008,Universal,Diesel,1.7,238075 km,4.0,Manual,Front,Left wheel,Silver,2171
10036,HYUNDAI,Sonata,2014,Sedan,LPG,2,268046 km,4.0,Automatic,Front,Left wheel,Silver,2172
282,HYUNDAI,Sonata,2012,Sedan,Hybrid,2.4,226814 km,4.0,Automatic,Front,Left wheel,Black,2173
27174,HYUNDAI,Tucson,2015,Jeep,Diesel,1.7,279276 km,4.0,Automatic,Front,Left wheel,Blue,2174
549,TOYOTA,Camry,2019,Sedan,Petrol,2.5,35541 km,4.0,Automatic,Front,Left wheel,Black,2175
4300,MITSUBISHI,Colt,2006,Hatchback,Petrol,1.3,112000 km,4.0,Variator,Front,Right-hand drive,White,2176
43868,SSANGYONG,Actyon,2016,Jeep,,1.6,64841 km,4.0,Automatic,Front,Left wheel,Black,2177
251,TOYOTA,Camry,2019,Sedan,Hybrid,2.5,39552 km,4.0,Automatic,Front,Left wheel,Black,2178
14426,MERCEDES-BENZ,E 350,2005,Sedan,LPG,3.5,279000 km,6.0,Tiptronic,Rear,Left wheel,Golden,2179
1176,HYUNDAI,Sonata,2013,Sedan,Hybrid,2.4,216208 km,4.0,Automatic,Front,Left wheel,Blue,2180
18826,SSANGYONG,Actyon,2010,Jeep,Diesel,2,118133 km,4.0,Automatic,Front,Left wheel,Silver,2181
30,HONDA,FIT,2005,Hatchback,Petrol,1.3,0 km,4.0,Automatic,Front,Right-hand drive,Silver,2182
7840,OPEL,Astra,1998,Goods wagon,CNG,1.8,240000 km,4.0,Manual,Front,Left wheel,Blue,2183
251,TOYOTA,Highlander,2008,Jeep,Hybrid,3.3,318467 km,6.0,Automatic,4x4,Left wheel,Blue,2184
13485,VOLKSWAGEN,Passat SE,2015,Sedan,Petrol,1.8,91103 km,4.0,Automatic,Front,Left wheel,Black,2185
15000,TOYOTA,Sienta,2018,Minivan,Petrol,1,0 km,3.0,Automatic,Front,Right-hand drive,White,2186
8467,SSANGYONG,REXTON,2008,Jeep,Diesel,2.5,64459 km,4.0,Automatic,Front,Left wheel,Silver,2187
18817,HYUNDAI,Sonata,2013,Sedan,Hybrid,2.4,0 km,4.0,Automatic,Rear,Left wheel,Silver,2188
470,TOYOTA,Camry,2018,Sedan,Petrol,2.5,44845 km,4.0,Automatic,Front,Left wheel,Brown,2189
35124,HYUNDAI,H1,2010,Microbus,Diesel,2.5 Turbo,63500 km,4.0,Automatic,Rear,Left wheel,Silver,2190
15053,BMW,530,2004,Sedan,Petrol,3,200000 km,6.0,Tiptronic,Rear,Left wheel,White,2191
862,FORD,Fusion,2015,Sedan,Petrol,2.5,182302 km,4.0,Automatic,Front,Left wheel,Black,2192
10349,TOYOTA,Prius C,2013,Hatchback,Hybrid,1.5,145000 km,4.0,Variator,Front,Left wheel,Sky blue,2193
11917,SCION,iA isti,2006,Hatchback,Petrol,1.5,118000 km,4.0,Automatic,Front,Left wheel,Silver,2194
11290,HYUNDAI,Elantra GLS / LIMITED,2013,Sedan,Petrol,1.8,69000 km,4.0,Tiptronic,Front,Left wheel,Blue,2195
8467,MAZDA,Mazda 3,2008,Hatchback,Diesel,1.6 Turbo,185000 km,4.0,Manual,Front,Left wheel,Blue,2196
34500,TOYOTA,Land Cruiser Prado,2006,Jeep,Petrol,2.7,210000 km,6.0,Automatic,4x4,Left wheel,Silver,2197
9095,BMW,320 320,2001,Coupe,Petrol,2,188000 km,6.0,Manual,Rear,Left wheel,Black,2198
21012,KIA,Optima X,2012,Sedan,Petrol,2.0 Turbo,155000 km,12.0,Tiptronic,Front,Left wheel,Carnelian red,2199
13485,MERCEDES-BENZ,B 170,2007,Hatchback,Petrol,1.7,160000 km,4.0,Automatic,Front,Left wheel,White,2200
14113,TOYOTA,Prius,2014,Jeep,Hybrid,1.8,339710 km,4.0,Automatic,Front,Left wheel,White,2201
188,HYUNDAI,Santa FE,2016,Jeep,Petrol,2,80486 km,4.0,Automatic,Front,Left wheel,Orange,2202
110,TOYOTA,Camry,2013,Sedan,Petrol,2.5,208000 km,4.0,Tiptronic,Front,Left wheel,Black,2203
1490,LEXUS,CT 200h,2012,Hatchback,Hybrid,1.8,174106 km,4.0,Automatic,Front,Left wheel,White,2204
8938,HYUNDAI,Sonata,2013,Sedan,LPG,2,106675 km,4.0,Automatic,Front,Left wheel,Silver,2205
862,LEXUS,GX 470,2008,Jeep,Petrol,4.7,263190 km,8.0,Automatic,4x4,Left wheel,White,2206
110,LEXUS,GX 460,2017,Jeep,Petrol,4.6,0 km,8.0,Automatic,4x4,Left wheel,White,2207
11604,DODGE,Caliber,2009,Jeep,LPG,2,134500 km,4.0,Variator,Front,Left wheel,Orange,2208
9722,FORD,Transit Connect,2009,Goods wagon,Diesel,1.8 Turbo,230000 km,4.0,Manual,Front,Left wheel,Sky blue,2209
9095,HONDA,FIT,2013,Hatchback,Petrol,1.5,41000 km,4.0,Automatic,Front,Left wheel,Blue,2210
15053,MERCEDES-BENZ,E 500,2002,Sedan,Petrol,5,25500 km,8.0,Tiptronic,Rear,Left wheel,Silver,2211
13172,TOYOTA,CHR,2019,Jeep,Petrol,2,24302 km,4.0,Automatic,Front,Left wheel,Red,2212
9408,FORD,Focus,2012,Sedan,Petrol,2,136000 km,4.0,Automatic,Front,Left wheel,Carnelian red,2213
15681,HONDA,Elysion,2011,Minivan,Petrol,2.4,157000 km,4.0,Automatic,Front,Right-hand drive,White,2214
14113,BMW,X5,2000,Jeep,Petrol,4.4,180351 km,8.0,Tiptronic,4x4,Left wheel,Grey,2215
14113,KIA,Cadenza,2012,Sedan,Petrol,2.4,40103 km,4.0,Automatic,Front,Left wheel,Black,2216
54458,HYUNDAI,Santa FE,2016,Jeep,Diesel,2,49454 km,4.0,Automatic,Front,Left wheel,White,2217
4704,MERCEDES-BENZ,Smart,1999,Sedan,Petrol,0.6 Turbo,142000 km,4.0,Tiptronic,Rear,Left wheel,Black,2218
9722,HYUNDAI,Sonata,2015,Sedan,LPG,2,574647 km,4.0,Automatic,Front,Left wheel,Orange,2219
8467,FORD,Focus,2015,Sedan,Petrol,2,116923 km,4.0,Tiptronic,Front,Left wheel,White,2220
12388,TOYOTA,Camry,2016,Sedan,Hybrid,2.5,67429 km,4.0,Automatic,Front,Left wheel,Black,2221
18817,HYUNDAI,Elantra,2017,Sedan,Petrol,2,105600 km,4.0,Tiptronic,Front,Left wheel,White,2222
13485,TOYOTA,Prius C,2013,Hatchback,Hybrid,1.5,77000 km,4.0,Variator,Front,Left wheel,Red,2223
20071,BMW,X5,2010,Jeep,Diesel,3.0 Turbo,141200 km,4.0,Tiptronic,4x4,Left wheel,White,2224
47042,LEXUS,GX 470,2015,Jeep,Petrol,4.6,106918 km,8.0,Automatic,4x4,Left wheel,Black,2225
34673,HYUNDAI,H1,2014,Minivan,Diesel,2.5,117466 km,4.0,Automatic,Front,Left wheel,Grey,2226
19736,HYUNDAI,Elantra,2016,Sedan,Diesel,1.6,37405 km,4.0,Automatic,Front,Left wheel,White,2227
7840,MITSUBISHI,Airtrek,2002,Universal,Petrol,2.0 Turbo,155000 km,4.0,Tiptronic,4x4,Right-hand drive,Red,2228
17562,TOYOTA,Prius C,2014,Hatchback,Hybrid,1.5,66000 km,4.0,Automatic,Front,Left wheel,Silver,2229
16559,CHEVROLET,Cruze,2015,Sedan,Petrol,1.8,51678 km,4.0,Automatic,Front,Left wheel,Silver,2230
45376,HYUNDAI,Santa FE,2013,Jeep,Diesel,2,43000 km,4.0,Automatic,Front,Left wheel,White,2231
392,TOYOTA,RAV 4,2010,Jeep,Petrol,2.5,136139 km,4.0,Automatic,Front,Left wheel,Red,2232
21326,TOYOTA,Camry,2012,Sedan,Petrol,2.4,113000 km,4.0,Tiptronic,Front,Left wheel,Silver,2233
81539,LEXUS,GX 460,2016,Jeep,Petrol,4.6,155976 km,8.0,Automatic,4x4,Left wheel,White,2234
14500,TOYOTA,Prius,2010,Sedan,Hybrid,1.8,97000 km,4.0,Automatic,Front,Left wheel,Black,2235
41867,TOYOTA,Aqua,2018,Universal,Hybrid,1.5,35039 km,4.0,Automatic,Front,Left wheel,Blue,2236
15612,HYUNDAI,Accent,2015,Sedan,Diesel,1.6,97382 km,4.0,Automatic,Front,Left wheel,White,2237
8154,BMW,X5,2012,Jeep,Diesel,3,103458 km,6.0,Automatic,4x4,Left wheel,White,2238
42337,MERCEDES-BENZ,E 220 cdi,2016,Sedan,Diesel,2.0 Turbo,127000 km,4.0,Automatic,Rear,Left wheel,Black,2239
941,TOYOTA,Camry,2013,Sedan,Hybrid,2.5,225510 km,,Automatic,Front,Left wheel,White,2240
706,AUDI,A4,2014,Sedan,Petrol,2,162032 km,4.0,Automatic,Front,Left wheel,Black,2241
706,MERCEDES-BENZ,E 350,2010,Sedan,Diesel,3.5,205968 km,6.0,Automatic,4x4,Left wheel,White,2242
31361,MINI,Countryman s,2013,Jeep,Petrol,1.6 Turbo,88000 km,4.0,Tiptronic,4x4,Left wheel,Black,2243
25889,HYUNDAI,Elantra,2016,Sedan,Petrol,1.6,79420 km,4.0,Automatic,Front,Left wheel,Blue,2244
47042,LEXUS,GX 470,2015,Jeep,Petrol,4.6,106918 km,8.0,Automatic,4x4,Left wheel,Black,2245
21012,KIA,Optima,2015,Sedan,Petrol,2.4,60000 km,4.0,Tiptronic,Front,Left wheel,Grey,2246
14113,KIA,Optima,2014,Sedan,Petrol,2,65376 km,4.0,Automatic,Front,Left wheel,Silver,2247
2200,VOLKSWAGEN,Golf 4,2002,Hatchback,Petrol,1.8 Turbo,199000 km,4.0,Automatic,Front,Right-hand drive,Silver,2248
14081,HYUNDAI,H1,2010,Minivan,Diesel,2.5,124850 km,,Automatic,Front,Left wheel,White,2249
21953,FORD,Fusion,2015,Sedan,Petrol,1.5,102506 km,4.0,Automatic,Front,Left wheel,White,2250
14686,SSANGYONG,Actyon,2010,Sedan,Diesel,2,120682 km,4.0,Automatic,Front,Left wheel,Silver,2251
15053,TOYOTA,Prius C,2012,Hatchback,Hybrid,1.5,95000 km,4.0,Automatic,Front,Left wheel,Silver,2252
21357,HYUNDAI,Santa FE,2010,Jeep,Diesel,2,193488 km,4.0,Automatic,Front,Left wheel,Silver,2253
51432,MERCEDES-BENZ,GL 350,2011,Jeep,Diesel,3.0 Turbo,103000 km,6.0,Tiptronic,4x4,Left wheel,White,2254
23834,HYUNDAI,Elantra,2014,Sedan,Petrol,1.6,60000 km,4.0,Tiptronic,Front,Left wheel,Black,2255
49459,HYUNDAI,H1,2016,Universal,Diesel,2.5,117671 km,4.0,Automatic,Front,Left wheel,Silver,2256
251,TOYOTA,Camry,2019,Sedan,Hybrid,2.5,39552 km,4.0,Automatic,Front,Left wheel,Black,2257
1725,TOYOTA,Highlander,2010,Sedan,Hybrid,3.3,226198 km,6.0,Automatic,4x4,Left wheel,Green,2258
11133,FORD,C-MAX,2013,Hatchback,Hybrid,2,135383 km,4.0,Tiptronic,Front,Left wheel,Black,2259
30828,HYUNDAI,Santa FE,2012,Jeep,Diesel,2,115412 km,4.0,Automatic,Front,Left wheel,White,2260
157,MERCEDES-BENZ,E 350,2011,Sedan,Diesel,3.5,377379 km,6.0,Automatic,4x4,Left wheel,Silver,2261
6429,HYUNDAI,Tucson,2014,Jeep,Petrol,2.4,0 km,4.0,Automatic,Front,Left wheel,Silver,2262
18817,HYUNDAI,Elantra,2016,Sedan,Petrol,2,71191 km,4.0,Automatic,Front,Left wheel,White,2263
11290,HYUNDAI,Santa FE,2018,Sedan,Petrol,2.4,44240 km,4.0,Automatic,4x4,Left wheel,White,2264
25716,TOYOTA,Prius,2012,Hatchback,Plug-in Hybrid,1.8,135200 km,4.0,Variator,Front,Left wheel,Silver,2265
35071,HYUNDAI,Tucson,2016,Jeep,Diesel,2,80700 km,4.0,Automatic,Front,Left wheel,Black,2266
13900,TOYOTA,Camry XLE,2010,Sedan,Hybrid,2.4,204800 km,4.0,Automatic,Front,Left wheel,Sky blue,2267
38016,HYUNDAI,H1,2017,Universal,Diesel,2.5,100900 km,4.0,Automatic,Front,Left wheel,Silver,2268
251,CHEVROLET,Captiva,2014,Jeep,Petrol,2.4,195987 km,4.0,Automatic,Front,Left wheel,Blue,2269
11133,TOYOTA,Camry,2014,Sedan,Hybrid,2.5,179381 km,4.0,Automatic,Front,Left wheel,Black,2270
51746,HYUNDAI,Tucson TURBO,2016,Jeep,Petrol,1.6 Turbo,96000 km,4.0,Tiptronic,4x4,Left wheel,Blue,2271
5018,VOLKSWAGEN,Passat,2014,Sedan,Diesel,2,77349 km,4.0,Automatic,Front,Left wheel,White,2272
11917,FIAT,500 46 ml,2015,Coupe,Petrol,1.4,75200 km,4.0,Tiptronic,Front,Left wheel,White,2273
17876,TOYOTA,Prius C,2012,Hatchback,Hybrid,1.5,152000 km,4.0,Automatic,Front,Left wheel,White,2274
8154,HYUNDAI,Sonata,2015,Sedan,LPG,2,585977 km,4.0,Automatic,Front,Left wheel,Orange,2275
